,country,year,population,gdp,co2,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,continent,latitude,longitude,co2_cum,co2_cum_total
13568,118.0,0.49572649572649397,1.6741426994437203e-06,0.00027629823518417163,2.8967698119826584e-06,0.0,0.0,0.0,0.0,4.0,-0.009167003302225328,2.913520751766444,4.49077046146202e-06,0.16208055947150216
13202,115.0,0.39316239316239177,0.003908431848210847,0.0006394480954856777,5.493873781346421e-06,0.0,0.001,0.001,0.0,0.0,-0.33688751883710266,0.6093729415449873,5.490760844756601e-06,0.10992039412766835
16987,148.0,0.18803418803418737,0.0011370485072820743,0.0003001911855550277,0.0,0.0,0.0,0.0,0.0,0.0,0.25263746864103515,-0.2522517596029907,0.0,0.04337695255427636
14752,128.0,0.7350427350427324,0.001022161616791066,0.0008955370698155746,0.0009814056345768833,0.0,0.0,0.0,0.0,1.0,0.36651964382830454,0.9949020780314957,0.0002663465199641755,0.4411882825252452
11455,100.0,0.22222222222222143,0.00020203023703519945,0.0002221550975422049,2.497215355157464e-06,0.0,0.0,0.0,0.0,2.0,0.8694509215748704,0.10698301257251266,1.7716365058368576e-06,0.053260608790771616
9013,79.0,0.3076923076923066,0.01008811729200034,0.002549122731801297,0.0025524537588135473,0.0,0.0,0.001,0.0,1.0,0.5698069155782338,0.952327589635836,0.0007759321705630631,0.07854882197849504
17473,152.0,0.3076923076923066,0.00047151261232846045,0.00012245645240534285,0.0,0.0,0.0,0.0,0.0,1.0,0.023685985451862686,1.8119920888116188,0.0,0.07854882197849504
3577,31.0,0.2991452991452981,0.00014030748167061745,5.513275975497949e-06,1.0288527263248752e-05,0.0,0.0,0.0,0.0,0.0,0.27925364374083983,-0.41902553563335626,9.732189872063802e-06,0.0757543825745245
13199,115.0,0.3675213675213662,0.0037046813781435204,0.0006394480954856777,5.094319324521227e-06,0.0,0.001,0.001,0.0,0.0,-0.33688751883710266,0.6093729415449873,5.078691316732324e-06,0.1005562515222768
18408,160.0,0.6410256410256387,0.025355717972735264,0.025536079156335816,0.01808523315650718,0.001,0.002,0.003,0.0,2.0,0.6863693771898276,-0.08443866443767199,0.0077603505671273556,0.30312874421784713
8207,72.0,0.33333333333333215,0.00023542587393299736,0.00029370416453603697,2.5971039693637628e-05,0.0,0.0,0.0,0.0,5.0,0.0845037756907469,-1.0234905537258703,6.141673220234438e-06,0.08731374179053404
4380,38.0,1.0,0.00376552770810509,0.0016501642208724776,0.0005644705588797932,0.001,0.001,0.002,0.0,0.0,-0.052035846712221626,0.4157769350979974,0.00036738754302373324,1.0000000000000002
15602,136.0,0.3162393162393151,0.02040533757337165,0.005344181246796337,0.005627324969926036,0.001,0.002,0.003,0.0,2.0,0.9113399528507603,0.33395866436603844,0.007138905099873266,0.08153510341153268
13573,118.0,0.5384615384615365,2.339970736198338e-06,0.00027629823518417163,2.8967698119826584e-06,0.0,0.0,0.0,0.0,4.0,-0.009167003302225328,2.913520751766444,4.87134422938253e-06,0.19294457363088385
19793,172.0,0.5726495726495706,5.660247394455526e-05,0.00020773857275692198,1.4983292130944784e-06,0.0,0.0,0.0,0.0,4.0,-0.347601203251848,-3.057862961092903,1.3254465710335007e-06,0.22279779199476488
17554,153.0,0.0,0.002030822311516309,0.0034556893013861652,0.0010831921324531016,0.0,0.0,0.0,0.0,2.0,0.8506935871056778,0.3395165362146498,2.8461668547103525e-05,0.0
4223,37.0,0.5897435897435876,0.0001659932695336625,9.169826991942384e-06,1.797995055713374e-06,0.0,0.0,0.0,0.0,0.0,-0.2130090157375963,0.7728893258165518,2.104966633601718e-06,0.23999689996971274
12113,105.0,0.9145299145299148,0.009983162513661431,0.00100879901476139,0.00017860084220086184,0.001,0.0,0.001,0.0,0.0,0.2857110251246732,-0.03996845700436137,7.392579825689026e-05,0.7794946490825023
21423,186.0,0.6837606837606813,0.01078408840632944,0.013668458529137395,0.00905400388027311,0.003,0.003,0.006,0.0,5.0,0.13965899352452193,-1.1538534314714215,0.005674076667147223,0.3645850267604184
20583,179.0,0.38461538461538325,0.025181153319486706,0.021597833181352256,0.007215953490263008,0.002,0.003,0.006,0.0,2.0,0.8637145217424017,0.5457964332758526,0.003807459447424107,0.10681902706895534
1869,16.0,0.44444444444444287,0.006164523851583011,0.004485296692393717,0.008337103296114503,0.0,0.002,0.003,0.0,2.0,0.8838396358397974,0.08144953327556093,0.008967961001025964,0.13263734210386904
4826,42.0,0.8290598290598297,0.007797214323975998,0.00214390262838854,0.002478136629844061,0.001,0.002,0.003,0.0,3.0,0.4016549560119942,-1.4107998091123528,0.0026619796496235274,0.6047053755071617
13794,120.0,0.4102564102564088,0.0069731021576404295,0.004876794812699034,0.004721035573232289,0.0,0.001,0.001,0.0,2.0,0.9118935145662922,0.09671300218789995,0.003690927759686847,0.11680425461164491
